player_name,season,games,minutes,per,ts_pct,usg_pct,bpm,vorp
Kobe Bryant,2015,35.0,1207.0,17.6,0.477,34.9,0.3,0.7
Pablo Prigioni,2015,67.0,1197.0,12.2,0.557,11.6,0.0,0.6
Pablo Prigioni,2015,43.0,795.0,12.7,0.583,12.7,0.1,0.4
Pablo Prigioni,2015,24.0,402.0,11.4,0.496,9.6,-0.2,0.2
Tarik Black,2015,63.0,1196.0,14.7,0.583,13.8,-2.1,0.0
Tarik Black,2015,25.0,393.0,11.6,0.548,12.7,-3.9,-0.2
Tarik Black,2015,38.0,803.0,16.3,0.598,14.3,-1.3,0.2
Miles Plumlee,2015,73.0,1194.0,13.4,0.536,12.0,-0.6,0.4
Miles Plumlee,2015,54.0,1005.0,13.1,0.55,11.2,-0.7,0.3
Miles Plumlee,2015,19.0,189.0,15.0,0.488,16.3,0.1,0.1
Gary Neal,2015,54.0,1193.0,11.1,0.483,23.8,-3.4,-0.5
Gary Neal,2015,43.0,931.0,9.9,0.466,24.4,-4.3,-0.6
Gary Neal,2015,11.0,262.0,15.1,0.544,21.8,-0.5,0.1
Carl Landry,2015,70.0,1192.0,14.9,0.578,18.1,-2.3,-0.1
Ramon Sessions,2015,64.0,1188.0,11.1,0.49,18.7,-2.7,-0.2
Ramon Sessions,2015,36.0,642.0,8.1,0.442,18.7,-5.1,-0.5
Ramon Sessions,2015,28.0,546.0,14.7,0.547,18.6,0.1,0.3
Brandon Jennings,2015,41.0,1173.0,19.7,0.522,26.3,3.3,1.6
Kendrick Perkins,2015,68.0,1148.0,7.0,0.467,13.6,-5.4,-1.0
Kendrick Perkins,2015,51.0,981.0,7.4,0.461,12.9,-4.6,-0.7
Kendrick Perkins,2015,17.0,167.0,4.7,0.494,17.7,-9.7,-0.3
Ian Mahinmi,2015,61.0,1146.0,10.8,0.516,12.5,-2.5,-0.1
Hassan Whiteside,2015,48.0,1142.0,26.2,0.619,21.1,4.1,1.8
Robert Sacre,2015,67.0,1133.0,10.9,0.449,14.8,-3.5,-0.4
Chris Andersen,2015,60.0,1132.0,16.1,0.622,12.3,1.1,0.9
JaKarr Sampson,2015,74.0,1131.0,9.4,0.498,17.9,-4.2,-0.6
Nik Stauskas,2015,73.0,1127.0,7.5,0.492,14.2,-3.3,-0.4
