player_key,player_name,draft_year,pick,ws,vorp
day ron sharpe,Day'Ron Sharpe,2021,29,11.9,2.0
santi aldama,Santi Aldama,2021,30,14.5,4.7
isaiah todd,Isaiah Todd,2021,31,-0.3,-0.3
jeremiah robinson earl,Jeremiah Robinson-Earl,2021,32,5.9,-0.4
jason preston,Jason Preston,2021,33,0.1,0.0
rokas jokubaitis,Rokas Jokubaitis,2021,34,0.0,0.0
herbert jones,Herbert Jones,2021,35,16.4,2.6
miles mcbride,Miles McBride,2021,36,10.5,2.0
jt thor,JT Thor,2021,37,1.2,-1.5
ayo dosunmu,Ayo Dosunmu,2021,38,17.5,2.0
neemias queta,Neemias Queta,2021,39,14.2,2.8
jared butler,Jared Butler,2021,40,2.5,0.3
joe wieskamp,Joe Wieskamp,2021,41,0.1,-0.2
isaiah livers,Isaiah Livers,2021,42,2.0,-0.7
greg brown,Greg Brown III,2021,43,0.2,-0.6
kessler edwards,Kessler Edwards,2021,44,2.7,-0.5
juhann begarin,Juhann Begarin,2021,45,0.0,0.0
dalano banton,Dalano Banton,2021,46,2.0,0.4
david johnson,David Johnson,2021,47,0.0,0.0
sharife cooper,Sharife Cooper,2021,48,0.4,-0.5
marcus zegarowski,Marcus Zegarowski,2021,49,0.0,0.0
filip petrusev,Filip Petrušev,2021,50,0.0,0.0
brandon boston,Brandon Boston Jr.,2021,51,1.0,-1.0
luka garza,Luka Garza,2021,52,8.2,1.3
charles bassey,Charles Bassey,2021,53,4.5,0.9
sandro mamukelashvili,Sandro Mamukelashvili,2021,54,11.4,3.2
aaron wiggins,Aaron Wiggins,2021,55,15.0,1.9
scottie lewis,Scottie Lewis,2021,56,0.0,0.0
balsa koprivica,Balša Koprivica,2021,57,0.0,0.0
jericho sims,Jericho Sims,2021,58,10.1,-0.1
raiquan gray,RaiQuan Gray,2021,59,0.2,0.1
georgios kalaitzakis,Georgios Kalaitzakis,2021,60,-0.1,-0.3
paolo banchero,Paolo Banchero,2022,1,16.1,7.1
chet holmgren,Chet Holmgren,2022,2,21.2,7.4
jabari smith,Jabari Smith Jr.,2022,3,18.3,1.4
keegan murray,Keegan Murray,2022,4,14.1,1.6
jaden ivey,Jaden Ivey,2022,5,2.9,-0.6
bennedict mathurin,Bennedict Mathurin,2022,6,8.3,-2.2
shaedon sharpe,Shaedon Sharpe,2022,7,5.9,-0.2
dyson daniels,Dyson Daniels,2022,8,15.8,5.3
jeremy sochan,Jeremy Sochan,2022,9,5.4,-1.1
johnny davis,Johnny Davis,2022,10,-0.4,-1.3
ousmane dieng,Ousmane Dieng,2022,11,2.0,-0.7
jalen williams,Jalen Williams,2022,12,23.8,8.2
jalen duren,Jalen Duren,2022,13,29.5,7.5
ochai agbaji,Ochai Agbaji,2022,14,5.5,-1.3
mark williams,Mark Williams,2022,15,16.0,3.8
aj griffin,AJ Griffin,2022,16,1.8,0.1
tari eason,Tari Eason,2022,17,11.8,2.8
dalen terry,Dalen Terry,2022,18,3.1,-0.3
jake laravia,Jake LaRavia,2022,19,8.2,0.9
malaki branham,Malaki Branham,2022,20,0.1,-2.9
christian braun,Christian Braun,2022,21,16.4,1.8
walker kessler,Walker Kessler,2022,22,17.1,5.1
david roddy,David Roddy,2022,23,2.0,-1.4
marjon beauchamp,MarJon Beauchamp,2022,24,1.4,-0.7
blake wesley,Blake Wesley,2022,25,-0.2,-2.2
wendell moore,Wendell Moore Jr.,2022,26,1.0,-0.1
nikola jovic,Nikola Jović,2022,27,4.7,0.8
patrick baldwin,Patrick Baldwin Jr.,2022,28,0.7,-0.3
tyty washington,TyTy Washington Jr.,2022,29,-0.2,-0.7
peyton watson,Peyton Watson,2022,30,7.8,0.3
andrew nembhard,Andrew Nembhard,2022,31,8.9,-0.2
caleb houstan,Caleb Houstan,2022,32,4.2,-0.4
christian koloko,Christian Koloko,2022,33,2.9,-0.6
jaylin williams,Jaylin Williams,2022,34,11.7,3.6
max christie,Max Christie,2022,35,6.7,-0.6
gabriele procida,Gabriele Procida,2022,36,0.0,0.0
jaden hardy,Jaden Hardy,2022,37,0.5,-1.8
kennedy chandler,Kennedy Chandler,2022,38,0.5,-0.4
khalifa diop,Khalifa Diop,2022,39,0.0,0.0
bryce mcgowens,Bryce McGowens,2022,40,2.3,-1.7
e j liddell,E.J. Liddell,2022,41,0.6,-0.2
trevor keels,Trevor Keels,2022,42,-0.1,-0.1
moussa diabate,Moussa Diabaté,2022,43,11.4,1.9
ryan rollins,Ryan Rollins,2022,44,5.1,1.6
josh minott,Josh Minott,2022,45,4.0,1.4
ismael kamagate,Ismael Kamagate,2022,46,0.0,0.0
vince williams,Vince Williams Jr.,2022,47,3.2,0.4
kendall brown,Kendall Brown,2022,48,0.1,-0.1
isaiah mobley,Isaiah Mobley,2022,49,0.3,0.0
matteo spagnolo,Matteo Spagnolo,2022,50,0.0,0.0
tyrese martin,Tyrese Martin,2022,51,1.0,-0.5
karlo matkovic,Karlo Matković,2022,52,4.3,0.6
jd davison,JD Davison,2022,53,0.6,0.0
